PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 387 	 0 	 446 	 2 	 20 	 2 	 16 	 43 	 56
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 214 	 0 	 519 	 3 	 18 	 7 	 24 	 60 	 39
7 	 78 	 4 	 65 	 0 	 591 	 2 	 6 	 38 	 19 	 15 	 28
8 	 77 	 2 	 21 	 0 	 579 	 1 	 4 	 26 	 60 	 30 	 1
9 	 76 	 3 	 22 	 1 	 566 	 2 	 15 	 13 	 59 	 50 	 3
10 	 75 	 2 	 22 	 0 	 558 	 1 	 4 	 27 	 85 	 22 	 0
11 	 74 	 2 	 8 	 0 	 630 	 1 	 13 	 29 	 24 	 4 	 0
12 	 73 	 3 	 26 	 1 	 537 	 2 	 11 	 21 	 94 	 32 	 0
13 	 72 	 3 	 18 	 1 	 582 	 3 	 9 	 53 	 42 	 10 	 1
14 	 71 	 3 	 22 	 1 	 530 	 2 	 5 	 36 	 106 	 19 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 438 	 0 	 494 	 4 	 20 	 2 	 16 	 66 	 82
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 4 	 272 	 0 	 566 	 3 	 18 	 7 	 25 	 76 	 64
7 	 78 	 3 	 121 	 0 	 638 	 3 	 6 	 38 	 19 	 33 	 54
8 	 77 	 2 	 22 	 0 	 672 	 2 	 4 	 28 	 65 	 30 	 1
9 	 76 	 2 	 23 	 0 	 655 	 2 	 15 	 13 	 67 	 53 	 3
10 	 75 	 2 	 22 	 0 	 655 	 1 	 4 	 30 	 85 	 22 	 0
11 	 74 	 2 	 10 	 0 	 722 	 2 	 13 	 33 	 26 	 6 	 0
12 	 73 	 2 	 31 	 0 	 617 	 2 	 11 	 21 	 104 	 40 	 1
13 	 72 	 2 	 21 	 0 	 661 	 2 	 9 	 53 	 54 	 19 	 1
14 	 71 	 2 	 26 	 0 	 607 	 2 	 5 	 36 	 122 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 485 	 0 	 533 	 3 	 20 	 2 	 17 	 83 	 117
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 313 	 0 	 605 	 3 	 18 	 7 	 25 	 103 	 96
7 	 78 	 4 	 166 	 0 	 675 	 2 	 6 	 38 	 20 	 59 	 82
8 	 77 	 3 	 63 	 0 	 709 	 2 	 4 	 28 	 67 	 61 	 27
9 	 76 	 2 	 23 	 0 	 750 	 2 	 15 	 13 	 72 	 53 	 3
10 	 75 	 2 	 22 	 0 	 753 	 1 	 4 	 32 	 85 	 22 	 0
11 	 74 	 2 	 11 	 0 	 815 	 2 	 13 	 33 	 31 	 8 	 0
12 	 73 	 2 	 33 	 0 	 703 	 2 	 11 	 21 	 112 	 46 	 1
13 	 72 	 2 	 26 	 0 	 734 	 2 	 9 	 53 	 67 	 32 	 1
14 	 71 	 2 	 26 	 0 	 704 	 1 	 5 	 36 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 3 	 531 	 1 	 574 	 3 	 20 	 2 	 18 	 99 	 154
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 4 	 354 	 0 	 647 	 2 	 18 	 7 	 25 	 128 	 130
7 	 78 	 3 	 215 	 0 	 715 	 4 	 6 	 38 	 20 	 77 	 115
8 	 77 	 3 	 107 	 0 	 749 	 2 	 4 	 28 	 68 	 84 	 59
9 	 76 	 2 	 23 	 0 	 846 	 2 	 15 	 13 	 76 	 53 	 3
10 	 75 	 2 	 22 	 0 	 852 	 1 	 4 	 33 	 85 	 22 	 0
11 	 74 	 2 	 11 	 0 	 911 	 2 	 13 	 33 	 35 	 8 	 0
12 	 73 	 3 	 37 	 1 	 792 	 3 	 11 	 21 	 113 	 56 	 1
13 	 72 	 2 	 30 	 0 	 813 	 2 	 9 	 53 	 74 	 46 	 1
14 	 71 	 2 	 26 	 0 	 803 	 1 	 5 	 37 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 569 	 0 	 610 	 2 	 20 	 2 	 19 	 138 	 176
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 4 	 392 	 0 	 682 	 2 	 18 	 7 	 30 	 160 	 155
7 	 78 	 3 	 251 	 1 	 746 	 3 	 6 	 38 	 22 	 120 	 134
8 	 77 	 3 	 143 	 1 	 780 	 3 	 4 	 28 	 71 	 127 	 77
9 	 76 	 3 	 58 	 0 	 877 	 3 	 15 	 13 	 81 	 97 	 19
10 	 75 	 2 	 22 	 0 	 951 	 1 	 4 	 34 	 85 	 22 	 0
11 	 74 	 2 	 11 	 0 	 998 	 2 	 13 	 33 	 48 	 8 	 0
12 	 73 	 2 	 37 	 0 	 878 	 2 	 11 	 21 	 126 	 57 	 1
13 	 72 	 2 	 32 	 0 	 899 	 2 	 9 	 53 	 85 	 48 	 1
14 	 71 	 2 	 26 	 0 	 902 	 1 	 5 	 38 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 610 	 0 	 648 	 3 	 20 	 2 	 21 	 165 	 206
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 431 	 0 	 718 	 2 	 18 	 7 	 32 	 190 	 184
7 	 78 	 4 	 288 	 0 	 780 	 2 	 6 	 38 	 23 	 159 	 157
8 	 77 	 3 	 177 	 1 	 812 	 3 	 4 	 28 	 74 	 169 	 98
9 	 76 	 3 	 93 	 1 	 908 	 3 	 15 	 13 	 83 	 138 	 41
10 	 75 	 2 	 22 	 0 	 1051 	 1 	 4 	 34 	 85 	 22 	 0
11 	 74 	 2 	 11 	 0 	 1089 	 2 	 13 	 33 	 57 	 8 	 0
12 	 73 	 2 	 37 	 0 	 969 	 2 	 11 	 21 	 135 	 57 	 1
13 	 72 	 2 	 32 	 0 	 990 	 2 	 9 	 53 	 94 	 48 	 1
14 	 71 	 2 	 26 	 0 	 1002 	 1 	 5 	 38 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 3 	 643 	 1 	 680 	 3 	 20 	 2 	 22 	 230 	 207
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 4 	 465 	 0 	 751 	 2 	 18 	 7 	 34 	 254 	 184
7 	 78 	 3 	 320 	 0 	 812 	 2 	 6 	 38 	 25 	 225 	 157
8 	 77 	 3 	 209 	 0 	 844 	 2 	 4 	 28 	 77 	 234 	 98
9 	 76 	 3 	 126 	 1 	 940 	 3 	 15 	 13 	 86 	 202 	 41
10 	 75 	 4 	 55 	 0 	 1084 	 2 	 4 	 35 	 89 	 84 	 0
11 	 74 	 2 	 11 	 0 	 1138 	 2 	 13 	 33 	 108 	 8 	 0
12 	 73 	 2 	 37 	 0 	 1018 	 2 	 11 	 21 	 186 	 57 	 1
13 	 72 	 2 	 32 	 0 	 1039 	 2 	 9 	 53 	 145 	 48 	 1
14 	 71 	 2 	 26 	 0 	 1101 	 1 	 5 	 39 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 676 	 0 	 713 	 2 	 20 	 2 	 24 	 295 	 207
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 497 	 0 	 783 	 2 	 18 	 7 	 36 	 320 	 184
7 	 78 	 3 	 353 	 1 	 845 	 3 	 6 	 38 	 27 	 290 	 157
8 	 77 	 4 	 243 	 0 	 877 	 2 	 4 	 28 	 79 	 298 	 98
9 	 76 	 3 	 158 	 0 	 972 	 2 	 15 	 13 	 89 	 267 	 41
10 	 75 	 3 	 88 	 1 	 1116 	 3 	 4 	 35 	 91 	 149 	 0
11 	 74 	 2 	 12 	 0 	 1186 	 2 	 13 	 33 	 158 	 10 	 0
12 	 73 	 2 	 37 	 0 	 1067 	 2 	 11 	 21 	 237 	 57 	 1
13 	 72 	 3 	 33 	 1 	 1087 	 2 	 9 	 53 	 195 	 50 	 1
14 	 71 	 2 	 26 	 0 	 1200 	 1 	 5 	 40 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 710 	 0 	 745 	 2 	 20 	 2 	 26 	 359 	 207
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 529 	 0 	 815 	 2 	 18 	 7 	 40 	 384 	 184
7 	 78 	 3 	 385 	 1 	 877 	 3 	 6 	 38 	 31 	 354 	 157
8 	 77 	 3 	 269 	 1 	 902 	 3 	 4 	 28 	 102 	 349 	 98
9 	 76 	 3 	 183 	 0 	 997 	 2 	 15 	 13 	 114 	 317 	 41
10 	 75 	 3 	 112 	 1 	 1140 	 2 	 4 	 35 	 118 	 198 	 0
11 	 74 	 4 	 37 	 0 	 1211 	 2 	 13 	 33 	 185 	 58 	 0
12 	 73 	 2 	 37 	 0 	 1157 	 1 	 11 	 21 	 247 	 57 	 1
13 	 72 	 2 	 33 	 0 	 1177 	 1 	 9 	 53 	 205 	 50 	 1
14 	 71 	 2 	 26 	 0 	 1299 	 1 	 5 	 41 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 3 	 742 	 0 	 776 	 2 	 20 	 2 	 30 	 423 	 207
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 562 	 1 	 847 	 3 	 18 	 7 	 44 	 447 	 184
7 	 78 	 4 	 418 	 0 	 909 	 2 	 6 	 38 	 35 	 417 	 157
8 	 77 	 3 	 294 	 0 	 927 	 2 	 4 	 28 	 128 	 398 	 98
9 	 76 	 4 	 208 	 0 	 1022 	 2 	 15 	 13 	 141 	 365 	 41
10 	 75 	 3 	 137 	 1 	 1165 	 3 	 4 	 35 	 146 	 245 	 0
11 	 74 	 3 	 61 	 1 	 1235 	 2 	 13 	 33 	 211 	 108 	 0
12 	 73 	 2 	 37 	 0 	 1256 	 1 	 11 	 22 	 247 	 57 	 1
13 	 72 	 2 	 34 	 0 	 1273 	 1 	 9 	 54 	 208 	 50 	 1
14 	 71 	 2 	 26 	 0 	 1397 	 1 	 5 	 43 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 3 	 766 	 1 	 800 	 2 	 20 	 2 	 58 	 471 	 207
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 586 	 0 	 871 	 2 	 18 	 7 	 71 	 496 	 184
7 	 78 	 3 	 443 	 2 	 932 	 2 	 6 	 38 	 62 	 465 	 157
8 	 77 	 3 	 318 	 2 	 951 	 2 	 4 	 28 	 158 	 444 	 98
9 	 76 	 3 	 232 	 1 	 1046 	 3 	 15 	 13 	 168 	 414 	 41
10 	 75 	 4 	 163 	 0 	 1189 	 2 	 4 	 35 	 173 	 292 	 0
11 	 74 	 4 	 86 	 0 	 1260 	 2 	 13 	 33 	 242 	 152 	 0
12 	 73 	 3 	 62 	 1 	 1282 	 3 	 11 	 23 	 277 	 100 	 1
13 	 72 	 2 	 34 	 0 	 1371 	 1 	 9 	 56 	 208 	 50 	 1
14 	 71 	 2 	 26 	 0 	 1494 	 1 	 5 	 46 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 3 	 795 	 0 	 829 	 2 	 20 	 2 	 75 	 525 	 207
4 	 60 	 2 	 19 	 0 	 15 	 2 	 0 	 0 	 1 	 4 	 1
7 	 78 	 4 	 473 	 0 	 962 	 2 	 6 	 38 	 76 	 521 	 157
8 	 77 	 3 	 347 	 1 	 980 	 3 	 4 	 28 	 176 	 497 	 98
9 	 76 	 3 	 257 	 0 	 1071 	 2 	 15 	 13 	 192 	 465 	 41
10 	 75 	 3 	 187 	 1 	 1213 	 3 	 4 	 35 	 200 	 341 	 0
11 	 74 	 4 	 111 	 0 	 1284 	 2 	 13 	 33 	 269 	 200 	 0
12 	 73 	 3 	 86 	 1 	 1306 	 2 	 11 	 23 	 304 	 149 	 1
13 	 72 	 2 	 34 	 0 	 1469 	 1 	 9 	 58 	 208 	 50 	 1
14 	 71 	 2 	 26 	 0 	 1592 	 1 	 5 	 48 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 821 	 0 	 855 	 2 	 20 	 2 	 99 	 575 	 207
4 	 60 	 2 	 19 	 0 	 15 	 2 	 0 	 0 	 1 	 4 	 1
7 	 78 	 3 	 498 	 0 	 987 	 2 	 6 	 38 	 99 	 573 	 157
8 	 77 	 3 	 372 	 1 	 1005 	 2 	 4 	 28 	 200 	 548 	 98
9 	 76 	 3 	 282 	 1 	 1096 	 3 	 15 	 13 	 218 	 514 	 41
10 	 75 	 3 	 212 	 1 	 1238 	 3 	 4 	 35 	 225 	 391 	 0
11 	 74 	 4 	 136 	 0 	 1309 	 2 	 13 	 33 	 294 	 250 	 0
12 	 73 	 3 	 111 	 1 	 1331 	 2 	 11 	 23 	 329 	 199 	 1
13 	 72 	 3 	 58 	 0 	 1499 	 2 	 9 	 58 	 232 	 96 	 1
14 	 71 	 2 	 26 	 0 	 1692 	 1 	 5 	 48 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 3 	 845 	 1 	 879 	 2 	 20 	 2 	 125 	 625 	 207
4 	 60 	 2 	 19 	 0 	 15 	 2 	 0 	 0 	 1 	 4 	 1
7 	 78 	 3 	 523 	 0 	 1012 	 2 	 6 	 38 	 124 	 623 	 157
8 	 77 	 3 	 397 	 0 	 1030 	 2 	 4 	 28 	 225 	 598 	 98
9 	 76 	 4 	 308 	 0 	 1121 	 2 	 15 	 13 	 243 	 563 	 41
10 	 75 	 4 	 237 	 0 	 1263 	 2 	 4 	 35 	 251 	 440 	 0
11 	 74 	 3 	 160 	 1 	 1333 	 2 	 13 	 33 	 320 	 300 	 0
12 	 73 	 3 	 136 	 1 	 1356 	 3 	 11 	 23 	 355 	 248 	 1
13 	 72 	 3 	 83 	 1 	 1524 	 3 	 9 	 58 	 258 	 145 	 1
14 	 71 	 2 	 26 	 0 	 1792 	 1 	 5 	 48 	 125 	 25 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
4 	 60 	 2 	 22 	 0 	 21 	 2 	 0 	 0 	 6 	 8 	 1
8 	 77 	 3 	 428 	 0 	 1061 	 3 	 4 	 28 	 235 	 654 	 101
9 	 76 	 4 	 339 	 0 	 1152 	 3 	 15 	 13 	 252 	 621 	 43
10 	 75 	 3 	 264 	 1 	 1289 	 3 	 4 	 35 	 272 	 489 	 3
11 	 74 	 3 	 188 	 0 	 1360 	 3 	 13 	 33 	 340 	 350 	 2
12 	 73 	 4 	 163 	 0 	 1383 	 3 	 11 	 23 	 376 	 299 	 2
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
4 	 60 	 2 	 22 	 0 	 22 	 2 	 0 	 0 	 6 	 8 	 1
8 	 77 	 3 	 477 	 0 	 1110 	 3 	 4 	 28 	 235 	 656 	 150
9 	 76 	 4 	 389 	 0 	 1201 	 3 	 15 	 13 	 252 	 622 	 92
10 	 75 	 4 	 301 	 0 	 1326 	 3 	 4 	 35 	 272 	 517 	 38
